SW_Version,CPU_Usage,Memory_Usage_MB,Flash_Size_MB,Num_Features_Enabled,Build_Time_sec
7,28.485983727045713,1439.9935436901633,406.365781938087,24,100.8394882304023
4,63.751419487898275,1771.9812485494538,890.0479062968201,15,81.16464193899924
8,11.576843020349132,1345.3244371626465,291.3380477108302,43,49.57475625950207
5,18.32868655876591,1570.0187666776844,165.7502555002519,31,45.574370154830035
7,73.99328682985515,488.1289429182314,163.76301557424227,9,52.7420958733448
3,24.28357296434669,1030.8034539556218,969.2848969448717,39,36.462051323650485
7,62.219688628149974,216.79691568876794,568.3944846767351,45,38.117185085002006
8,29.05462248373812,644.0219561389215,478.29675435892494,2,99.06911019001679
5,17.955311420747613,1507.6310872034087,849.2518088513166,8,58.4732576507445
4,29.453775279956325,1985.2579124288543,872.3031573893168,7,63.59951805705858
8,67.78135454845273,378.52057925698864,406.94451459881867,44,79.40494655668113
8,78.45571744850287,922.6897685503188,740.9030851057868,39,78.96534951515477
3,76.41758916535933,1640.1277436584871,812.5174818471432,42,26.73768715219257
6,41.77468236947639,567.2641423320179,704.8972346641419,16,103.15407863376656
5,63.44681092565169,1199.1529087441154,240.0738491152918,35,37.73265532239394
2,26.398743633265678,1519.5283328534147,909.3159691697607,30,92.30716360496689
8,33.45181842088106,1308.7738104683222,598.123366728072,10,97.26709881281666
6,81.70686548168958,538.444522307749,361.0045219658834,38,91.48995340913137
2,11.040153880858883,839.692223634331,492.91084334442917,18,77.89776465541452
5,16.840682468357446,1610.825212073715,134.71568752859042,5,21.460899710888285
1,26.630900411682184,1197.60772543763,218.14892432951382,29,56.03754923631707
6,12.122576309905577,209.41330437724292,807.3651974766555,39,80.48394293625812
9,24.514834807183785,1569.783368050569,100.01075051395831,34,58.74512959225387
1,56.643324877575374,263.56043889243034,484.90682551763797,43,106.34798949128131
3,43.713964047399834,1542.3208089162179,582.7994073230836,45,50.880227534961534
7,81.41373688615799,564.4650082974274,150.48220408089838,23,49.35347924586604
4,75.39548493907527,1924.5322642148844,999.1242225864355,5,46.599769309265795
9,37.34538813583008,862.2933523437521,308.9398060746969,30,53.27808689607955
3,30.7538746745034,788.4769094085424,381.0796169439235,6,75.74049643141872
5,40.375392653381354,467.9984905984004,380.84288132364526,46,90.70152942725908
3,57.22359540118462,750.0875878823867,312.9049957964313,44,86.2567917738785
7,31.4450912658301,1777.971371290761,101.36181160775175,4,100.77178199814796
5,59.93191262793072,1993.4018077290452,773.9145897373086,29,108.59139954974249
9,42.752932175299236,862.957154912327,993.3652418145397,23,101.60790423433512
7,54.16377446815842,1007.4991357181766,307.24717855538165,6,21.89454033743546
2,44.890122330825335,1499.7276887649266,712.6556052263624,32,93.59179535519887
